id,gflux,rflux
1237661949742220315,2.440988,16.90775
1237661949742154861,2.745031,15.83458
1237662199363273343,8.518355,38.0829
1237662199363207865,9.476574,35.25079
1237662635839128759,3.43895,16.40661
1237662200436949600,3.848355,23.12965
1237662636376064664,19.52559,54.59849
1237662635839259264,15.62774,65.51492
1237662199900144906,3.295318,18.48736
1237662635839324614,14.56169,59.44846
1237661949742023354,4.057156,19.32954
1237661949742089343,6.969416,28.24395
1237662198826468447,2.609357,14.16018
1237662198826468160,3.23119,18.6814
1237662199363404327,7.24212,33.36123
1237662199363338825,7.416044,30.80064
1237662198826599415,4.031465,19.49403
1237662635839455789,3.3973,17.38977
1237661950279090599,14.93043,57.28251
1237661950279156711,4.841349,20.41521
1237662198826664639,12.6923,53.42099
1237662199363535483,5.287423,27.95609
1237662199363535402,6.21636,28.91857
1237661949742285663,4.016836,18.23506
1237661949742285489,4.300239,24.12658
1237662239101682567,6.303882,27.77363
1237662198826664551,5.823013,25.5905
1237662198826730711,4.04422,16.46735
1237661949742416676,4.117902,24.02855
1237662239101682747,3.731728,14.73966
1237662239101747725,9.780892,40.04122
1237662199363601712,1.755244,14.29613
1237662199363667280,4.2628,21.72536
1237662239101812859,3.985725,30.502
1237662198826795942,3.220927,18.41754
1237661950816093424,2.485469,16.25329
1237661950816158460,5.65403,21.98353
1237662635839652515,3.270075,14.98835
1237661950279287825,4.78484,23.11361
1237662199363732119,14.52746,53.52615
1237661949742481952,8.768513,39.37417
1237662239101812928,3.394977,21.49121
1237662636376588446,9.965208,40.60366
1237662636376589103,5.268126,28.5008
1237662635839717720,3.46273,19.89798
1237661950279418916,2.479994,14.72406
1237662198826992917,14.81083,18.78646
1237662636376589110,6.739941,31.89322
1237661950279418582,2.504108,16.11099
1237661950279484449,8.215005,22.91262
1237662198826992326,14.90993,52.98075
1237661950816354929,3.929857,23.3287
1237661950279549876,1.694039,13.73564
1237661950279681088,4.230254,19.41501
1237662199364059839,2.986021,12.52036
1237662635840111423,6.415006,29.81375
1237662635840111920,2.944026,18.98424
1237662199364190834,11.42825,44.67166
1237662239102337533,17.04696,68.42728
1237662635840177293,3.142712,23.10193
1237661950816682538,5.215997,29.10164
1237662635840307701,4.237875,21.38682
1237662199364256384,4.800536,22.87911
1237661949743072246,3.954185,18.66402
1237662199364321873,14.83702,59.46282
1237662635840373396,3.05575,18.7324
1237662199364387596,3.461066,19.31655
1237662199364453021,15.27867,61.19293
1237662199364453317,2.82264,12.87813
1237662200438850753,2.656019,19.54037
1237662636914835816,53.85817,180.3744
1237668348149498893,2.777866,14.60014
1237662199901913802,14.50793,48.34919
1237662635840963256,12.01719,49.10278
1237662199901848771,1.22517,13.5326
1237662636377769340,0.1423688,1.904337
1237662199364911783,6.146607,29.58985
1237662635840897207,3.207447,16.03717
1237662636377703879,3.577526,20.79655
1237662635840832855,4.669638,18.95991
1237662635840832868,2.306423,14.47233
1237662635840897987,3.2888,13.25149
1237662636377572048,5.669417,26.06288
1237662636377572016,6.430541,28.70216
1237662636377571837,9.715955,29.0744
1237662200438392006,3.977641,21.40441
1237662200438391763,1.613584,15.70198
1237662636377440880,14.29692,57.51737
1237662636377505907,2.164398,13.75966
1237662636377506558,15.33876,59.07653
1237662199364715132,5.683346,24.82524
1237662199364650313,2.326883,13.35073
1237662199364650221,2.682626,15.201
1237662200438260386,10.51548,42.44692
1237662635840504489,4.909742,25.56282
1237662636377309965,5.240497,25.77786
1237662636377310589,3.544079,19.51247
1237662199901324249,4.00169,20.69191
1237661950280139986,4.860507,24.08916
1237662199364453108,4.578663,26.4864
1237661950280074535,3.699637,18.40357
1237662635840438507,1.620984,14.82786
1237662635840439029,3.303683,20.94093
1237662199901257977,1.936733,13.52261
1237662199901324024,7.34525,27.73964
1237662636377244688,5.204278,26.10212
1237662200438129660,2.100477,15.59667
1237662636377179198,3.795402,19.08288
1237662200438064167,4.533504,30.152
1237662199364321947,16.86604,59.18394
