objid,ra,dec
1237661949742220315,241.617698385958,6.86262239700855
1237661949742154861,241.487988592572,6.887351719876
1237662199363273343,241.307285715872,7.19793452138314
1237662199363207865,241.052842790857,7.18199874535537
1237662635839128759,241.067854599791,7.45360938849048
1237662200436949600,241.250134668288,8.07345324113404
1237662636376064664,241.281430392783,7.82235230618106
1237662635839259264,241.333284642254,7.45458812213302
1237662199900144906,241.365583394949,7.61894516268809
1237662635839324614,241.477556821113,7.55229419548513
1237661949742023354,241.236494709625,6.88191146293628
1237661949742089343,241.361271940148,6.85419116147039
1237662198826468447,241.342857730141,6.75532020240569
1237662198826468160,241.280619784966,6.72384266987594
1237662199363404327,241.496437662645,7.07242198739912
1237662199363338825,241.433399032686,7.01522141299603
1237662198826599415,241.621471598416,6.73701482866457
1237662635839455789,241.744829959293,7.42380033107546
1237661950279090599,241.729327617949,7.21258068769431
1237661950279156711,241.812099853066,7.14010846373091
1237662198826664639,241.830806263458,6.61946879792445
1237662199363535483,241.832997516642,7.00679225659106
1237662199363535402,241.776226138301,6.98175409585933
1237661949742285663,241.728382215335,6.80558415771261
1237661949742285489,241.750834316681,6.89073190441489
1237662239101682567,241.850273279927,6.77556565463502
1237662198826664551,241.839178900599,6.59257340775437
1237662198826730711,242.000417878762,6.60567932486442
1237661949742416676,242.027494775373,6.76357827481404
1237662239101682747,241.888218736114,6.70522706678005
1237662239101747725,241.999344600552,6.68781973498719
1237662199363601712,242.036362354703,6.98364705568102
1237662199363667280,242.136559232541,6.89680592829567
1237662239101812859,242.165385079671,6.72276139842849
1237662198826795942,242.06276710805,6.59958775554221
1237661950816093424,242.1584274905,7.61680275630835
1237661950816158460,242.175505182327,7.54104039970701
1237662635839652515,242.193008943442,7.38440196375135
1237661950279287825,242.16578674221,7.09847500238739
1237662199363732119,242.258857038463,6.96639859940352
1237661949742481952,242.261593373062,6.76130136002062
1237662239101812928,242.213588457913,6.72051922922663
1237662636376588446,242.460788722157,7.63545347513272
1237662636376589103,242.442476300853,7.60906405109906
1237662635839717720,242.354744867043,7.3243560712859
1237661950279418916,242.449113391098,7.10736187432134
1237662198826992917,242.547750613214,6.51999364340217
1237662636376589110,242.462641486279,7.66888824692995
1237661950279418582,242.470694279601,7.11419329387916
1237661950279484449,242.628705066233,7.04056697138848
1237662198826992326,242.576179353584,6.55589812034436
1237661950816354929,242.695585582252,7.49133535118852
1237661950279549876,242.76281251294,7.02633571126684
1237661950279681088,243.036458450678,6.97937601965418
1237662199364059839,243.050849443849,6.81351567912243
1237662635840111423,243.295096178486,7.04880088075988
1237662635840111920,243.245909155519,7.00995820156386
1237662199364190834,243.275697143055,6.651438581509
1237662239102337533,243.373181075373,6.53323388495383
1237662635840177293,243.420151436007,7.11099287173218
1237661950816682538,243.413139599576,7.3074129840717
1237662635840307701,243.658288146001,7.04011137938833
1237662199364256384,243.443898309009,6.7440433049642
1237661949743072246,243.561709097942,6.57036422388423
1237662199364321873,243.563519140786,6.63515500939239
1237662635840373396,243.807095632253,6.94897571061784
1237662199364387596,243.719489216699,6.66443014433698
1237662199364453021,243.879218709043,6.70899281844091
1237662199364453317,243.85152690057,6.61039826054868
1237662200438850753,245.5880844085,7.18404270019879
1237662636914835816,245.589664769743,7.44743647598676
1237668348149498893,245.661071125035,7.56425366499739
1237662199901913802,245.403199330287,6.826756171268
1237662635840963256,245.15358805556,6.65625029440274
1237662199901848771,245.207674598278,6.89455909155045
1237662199364911783,245.019331285546,6.5314712501794
1237662635840897207,245.026887837922,6.54926653332106
1237662636377703879,244.992301614329,7.18911209065316
1237662635840832855,244.871754007297,6.68569106209134
1237662635840832868,244.866576926935,6.64945156589087
1237662635840897987,244.927220163429,6.59572874015502
1237662636377572048,244.671637339997,7.15868418662362
1237662636377572016,244.649185014004,7.16406339153511
1237662636377571837,244.646501098832,7.10834873570018
1237662200438392006,244.5466318491,7.30386855170461
1237662200438391763,244.482801318642,7.37774976226239
1237662636377440880,244.451431094136,7.30799914443473
1237662636377505907,244.487807614603,7.24679402974152
1237662636377506558,244.587070078728,7.24828896933975
1237662199364715132,244.461066550823,6.57836960536836
1237662199364650313,244.375749547425,6.5660318060239
1237662199364650221,244.363945814616,6.59915220497605
1237662200438260386,244.285782383319,7.47287593248093
1237662635840504489,244.126085591783,6.88443173812639
1237662636377309965,244.125319770439,7.21261991630407
1237662636377310589,244.092235839121,7.25194348622079
1237662199901324249,244.059058044288,7.02864909224206
1237661950280139986,244.072345540478,6.75504483539809
1237662199364453108,243.980680040314,6.68233647832059
1237661950280074535,243.984042397965,6.74944194052363
1237662635840438507,244.012334505584,6.91843226910021
1237662635840439029,244.039791045232,6.98357742842031
1237662199901257977,243.926426215286,7.09988149574515
1237662199901324024,244.062163730446,7.05587435374449
1237662636377244688,243.882706377926,7.32235767667621
1237662200438129660,243.935079278597,7.44353329008641
1237662636377179198,243.745625863454,7.36936073659078
1237662200438064167,243.735389113821,7.49367240771142
1237662199364321947,243.690042115169,6.73726669312429
1237662635840242380,243.482665959507,7.06071046325705
1237662635840307708,243.641425931812,6.96253389141495
1237662636377113663,243.615759076582,7.39722646500508
1237662636377113845,243.649453705059,7.37012016082091
1237662636377113210,243.597785234881,7.49403144881519
1237662199364191512,243.361974813825,6.72232982080692
1237662199364190870,243.343943496845,6.74729739474051
1237662199900996273,243.280764203625,7.21162059305521
1237661950816682548,243.413246085524,7.26828556691252
1237662636376982046,243.280141747067,7.48147147738323
1237661950279680991,243.013729574849,6.99651152118835
1237662199900931129,243.098002245248,7.28162510161476
1237662199900865201,242.905189161301,7.27535444795291
1237662199364059779,242.983343363913,6.81245699700669
1237662534362661315,242.88814341069,8.20928226200724
1237662636913591701,242.877083097556,7.98024438140969
1237662636376720703,242.775003641685,7.65168484985759
1237668348148318369,242.967845792874,8.22004942610994
1237662636376785601,242.912850511837,7.64931397174349
1237662637450592348,243.200953990034,8.29722783263117
1237668348148253294,242.908766624948,8.30769105044478
1237668330964386321,243.125439122542,8.50159129451002
1237662637450527999,243.107524228976,8.31488337317735
1237662636913787554,243.230123064515,7.98375912056121
1237668330964517799,243.43460059347,8.42792562208611
1237661951353487883,243.38660105718,7.74100981760852
1237662636377047946,243.436225564461,7.51697392643754
1237662534362923688,243.419953044683,8.04760126181491
1237662636377047660,243.479318359153,7.52485025465912
1237662637987595037,243.611723592421,8.59585551147524
1237668348148580910,243.606973216346,8.0599478147911
1237661951353684251,243.712086551697,7.65361422575076
1237661951353553338,243.54770015889,7.78043909576984
1237668348148580466,243.585140282517,8.08787575905063
1237661951353618973,243.669806412733,7.75443746104781
1237668331501453848,243.720319874824,8.83439345298886
1237662637450790247,243.69886774988,8.28463318192255
1237662637450855114,243.782099395215,8.26178566120944
1237662637450855203,243.867885888893,8.1928551674155
1237668348148777699,243.93243292911,7.9382858267597
1237668348148712328,243.893240843073,8.09152089963311
1237661951353684493,243.848306785419,7.63180714691034
1237662636914049260,243.923969096157,7.83783817646963
1237662636914049080,243.808029759454,7.77922108676522
1237668348148646455,243.790831046484,8.06235904423414
1237662637987725995,243.861794709879,8.60069983493132
1237662638524596710,243.92639254884,8.98920840342234
1237662637450855837,243.87018366756,8.25782206622107
1237662636914115474,243.970517585477,7.81260677093183
1237662637450985913,244.06090937198,8.13397652207716
1237662534363185614,244.023294678648,7.86446274230373
1237662636914115019,244.022003897871,7.72400410657383
1237662636914115704,244.001074775499,7.79566684992776
1237668330964844677,244.16289977208,8.25551483281662
1237662534363251562,244.128378002244,7.83258589218695
1237662638524662380,244.199111286414,8.99094224353872
1237668349222519402,244.26205447717,8.74378218386107
1237668348685648426,244.196919953046,8.41644773450252
1237662637451051630,244.266636979657,8.13274519721956
1237662637451052480,244.352967850128,8.19292180696564
