ra,dec
2.426955954859144242e+02,7.491349364600186966e+00
2.427628330953899081e+02,7.026375291382311872e+00
2.430364755770864065e+02,6.979426632245201212e+00
2.430508590045529331e+02,6.813529940438337817e+00
2.432951051568705054e+02,7.048827631227494450e+00
2.432459057629978929e+02,7.009999792110657602e+00
2.432756999848506894e+02,6.651470789456086052e+00
2.433731913779696470e+02,6.533260637006354621e+00
2.434201853528279855e+02,7.110988172422678666e+00
2.434131592875635022e+02,7.307422560629218466e+00
2.436582732087919965e+02,7.040131073213109048e+00
2.434439148800824739e+02,6.744060685091653795e+00
2.435617158073723090e+02,6.570393982223180274e+00
2.435635365153401324e+02,6.635195322722725386e+00
2.438070142243903433e+02,6.948953164763110202e+00
2.437194630193168052e+02,6.664457321908883181e+00
2.438792043013193620e+02,6.708997235401016113e+00
2.438515210484685554e+02,6.610408296655828408e+00
2.455880957920297476e+02,7.184049276598257094e+00
2.455896898897271683e+02,7.447430791289860963e+00
2.456610860289818277e+02,7.564267710257586153e+00
2.454031929618364813e+02,6.826789160115676935e+00
2.451536042751952778e+02,6.656252084133132740e+00
2.452076813869439320e+02,6.894578401318562477e+00
2.451327581938688525e+02,7.091953578126135582e+00
2.450193436352874130e+02,6.531498680928470968e+00
2.450269215461202919e+02,6.549317077963850764e+00
2.449923285402155102e+02,7.189105482094599431e+00
2.448717915929354376e+02,6.685672648483852676e+00
2.448666674730556565e+02,6.649432808751436497e+00
2.449272396206188773e+02,6.595697959224334994e+00
2.446716760152656889e+02,7.158695145540045601e+00
2.446492311839159868e+02,7.164088252398284062e+00
2.446465648054988264e+02,7.108344597313561053e+00
2.445466698296535242e+02,7.303913652156658998e+00
2.444828166588333715e+02,7.377774431199313199e+00
2.444514352879129717e+02,7.307990701968951619e+00
2.444878336792900768e+02,7.246749832130523927e+00
2.445870984221570268e+02,7.248336138268102857e+00
2.444610919107246616e+02,6.578360973873074613e+00
2.443757653713235243e+02,6.566029802723140740e+00
2.443639586028159272e+02,6.599159210788863028e+00
2.442858053726907031e+02,7.472889205290109693e+00
2.441260827815977166e+02,6.884446878183512197e+00
2.441253031844499333e+02,7.212655406524422830e+00
2.440922452337330810e+02,7.251952957259015342e+00
2.440590466744965283e+02,7.028669605463056413e+00
2.440723287354694548e+02,6.755075285367023952e+00
2.439806780389659480e+02,6.682345763372661729e+00
2.439840227399849653e+02,6.749461530362441231e+00
2.440123514269766360e+02,6.918470414881563002e+00
2.440397890557494236e+02,6.983587976187357604e+00
2.439264193296977794e+02,7.099894181907591140e+00
2.440621502510404639e+02,7.055894877633783757e+00
2.438827144600257952e+02,7.322383469144986279e+00
2.439351051608501280e+02,7.443569071126186820e+00
2.437456232257895579e+02,7.369372455425373225e+00
2.437354047394595682e+02,7.493685938719815809e+00
2.436900253928719451e+02,6.737294689481190701e+00
2.434826839232078726e+02,7.060697506193815087e+00
2.436414182451384249e+02,6.962546153642320768e+00
2.436157690419935307e+02,7.397245138974446910e+00
2.436494900697447576e+02,7.370106012562497533e+00
2.435978003429541161e+02,7.494034165041541407e+00
2.433619853451649817e+02,6.722316139684944680e+00
2.433438838246349007e+02,6.747227501700634456e+00
2.432807804724889991e+02,7.211625808673320037e+00
2.434132599898376554e+02,7.268295080704532118e+00
2.432801685572387953e+02,7.481489937832423998e+00
2.430137503238957777e+02,6.996541518292314521e+00
2.430980302437447449e+02,7.281647150967212490e+00
2.429052209206000157e+02,7.275365450434701842e+00
2.429833590934700283e+02,6.812478956525253260e+00
2.428881525653333142e+02,8.209312611467634468e+00
2.428771110050804509e+02,7.980267293237929493e+00
2.427750010113922201e+02,7.651710617648585178e+00
2.429677913850041193e+02,8.220048560782144520e+00
2.429128528711090951e+02,7.649344602355056644e+00
2.432009699201416595e+02,8.297250080737658351e+00
2.429087645141313203e+02,8.307713097526585599e+00
2.431254504337750291e+02,8.501614114163706049e+00
2.431075809345570633e+02,8.314783183842676451e+00
2.432301465609762943e+02,7.983762934183754822e+00
2.434346132507688480e+02,8.427955120133267641e+00
2.433866033814902323e+02,7.741015265898992581e+00
2.434362553521715711e+02,7.516968794388366959e+00
2.434199621084225100e+02,8.047614869121265002e+00
2.434793214154190082e+02,7.524859119994482981e+00
2.436117381607878087e+02,8.595876625417304240e+00
2.436069758826252496e+02,8.059950244704952027e+00
2.437120715306467957e+02,7.653629799836029868e+00
2.435477021656051306e+02,7.780438944953823821e+00
2.435851448151490501e+02,8.087902582691155473e+00
2.436698629656648620e+02,7.754354464661876278e+00
2.437203221630032886e+02,8.834398041329420082e+00
2.436988760250320922e+02,8.284669375310642181e+00
2.437820948143395015e+02,8.261813010647550470e+00
2.438678735991983899e+02,8.192877525525764426e+00
2.439324239541399209e+02,7.938325542606782470e+00
2.438932453008752645e+02,8.091516280286290552e+00
2.438483105992297908e+02,7.631849211041024539e+00
2.439239945231171873e+02,7.837831796827455122e+00
2.438080149976669873e+02,7.779252861353648463e+00
2.437908013325033210e+02,8.062350454371747688e+00
2.438617934406813106e+02,8.600717360510390819e+00
2.439263894408119882e+02,8.989229763437174725e+00
2.438701755058969241e+02,8.257856594466792544e+00
2.439705171830786696e+02,7.812655465069557437e+00
2.440609289909721156e+02,8.134008710963048117e+00
2.440233214058521014e+02,7.864488158567805698e+00
2.440220088535315597e+02,7.724013149594411765e+00
2.440010981131314338e+02,7.795689797152777878e+00
2.441629090016291173e+02,8.255534392397173349e+00
2.441283884116722334e+02,7.832602584688885372e+00
2.441991117583607434e+02,8.990939857168259053e+00
2.442620719700589405e+02,8.743789919518466291e+00
2.441969139847687416e+02,8.416482133361100182e+00
2.442666788989760960e+02,8.132757612344169829e+00
2.443529914594373054e+02,8.192966192442925788e+00
2.445295805482085427e+02,8.441174987937007046e+00
2.446710012501393692e+02,7.817662634466204352e+00
2.446951666115214437e+02,7.950705043126094829e+00
2.447632311223711383e+02,8.551264399147566309e+00
2.452086785877417299e+02,7.824608973944722656e+00
2.450043039630553210e+02,7.541229167889401452e+00
2.452115178921548875e+02,8.023815279643130793e+00
2.452440524540352840e+02,7.946804725352997423e+00
2.454063066705458311e+02,7.563710739150580231e+00
2.453468003629210159e+02,7.591352791580263215e+00
2.454251138900822014e+02,8.145546039308449338e+00
2.455095026495061177e+02,7.860944286850503282e+00
2.454436781443513382e+02,8.017491756232232092e+00
2.411420087893947652e+02,1.145587589879915313e+01
2.444542976690195246e+02,1.132168282948926752e+01
2.440195295952739230e+02,1.042833587605060686e+01
2.440051170973806904e+02,1.080133779826212148e+01
2.440053786694180644e+02,1.114109528674622851e+01
2.437939599960333510e+02,1.032037166732243172e+01
2.437439243880885158e+02,1.101765509357944062e+01
2.435616064769697005e+02,1.042085460762102755e+01
2.434916970647668677e+02,1.101727897678070711e+01
2.435178276863852318e+02,9.825373887622037117e+00
2.433810981326239755e+02,1.049336626342811662e+01
2.433528181591970281e+02,1.075116930721418029e+01
2.432534298537472921e+02,1.055453423263393908e+01
2.430516421511295846e+02,1.142247512685768918e+01
2.428332728323461822e+02,1.118619620231477185e+01
