objid,ra,dec,gmag,rmag
1237661949742220315,241.617698385958,6.86262239700855,21.52961,19.42973
1237661949742154861,241.487988592572,6.887351719876,21.40247,19.50092
1237662199363273343,241.307285715872,7.19793452138314,20.17399,18.54816
1237662199363207865,241.052842790857,7.18199874535537,20.05827,18.63206
1237662635839128759,241.067854599791,7.45360938849048,21.15819,19.46239
1237662200436949600,241.250134668288,8.07345324113404,21.03622,19.08955
1237662636376064664,241.281430392783,7.82235230618106,19.27347,18.15704
1237662635839259264,241.333284642254,7.45458812213302,19.51522,17.95915
1237662199900144906,241.365583394949,7.61894516268809,21.20445,19.33277
1237662635839324614,241.477556821113,7.55229419548513,19.59193,18.06464
1237661949742023354,241.236494709625,6.88191146293628,20.97891,19.2844
1237661949742089343,241.361271940148,6.85419116147039,20.39183,18.87267
1237662198826468447,241.342857730141,6.75532020240569,21.45738,19.62225
1237662198826468160,241.280619784966,6.72384266987594,21.22575,19.32143
1237662199363404327,241.496437662645,7.07242198739912,20.35017,18.69188
1237662199363338825,241.433399032686,7.01522141299603,20.32441,18.77858
1237662198826599415,241.621471598416,6.73701482866457,20.9858,19.27521
1237662635839455789,241.744829959293,7.42380033107546,21.1714,19.39921
1237661950279090599,241.729327617949,7.21258068769431,19.56478,18.10494
1237661950279156711,241.812099853066,7.14010846373091,20.78721,19.22508
1237662198826664639,241.830806263458,6.61946879792445,19.74109,18.18072
1237662199363535483,241.832997516642,7.00679225659106,20.69158,18.88379
1237662199363535402,241.776226138301,6.98175409585933,20.51593,18.84704
1237661949742285663,241.728382215335,6.80558415771261,20.98975,19.34768
1237661949742285489,241.750834316681,6.89073190441489,20.91579,19.04373
1237662239101682567,241.850273279927,6.77556565463502,20.50076,18.8909
1237662198826664551,241.839178900599,6.59257340775437,20.58687,18.97978
1237662198826730711,242.000417878762,6.60567932486442,20.98238,19.45838
1237661949742416676,242.027494775373,6.76357827481404,20.96279,19.04815
1237662239101682747,241.888218736114,6.70522706678005,21.06959,19.57871
1237662239101747725,241.999344600552,6.68781973498719,20.02396,18.49372
1237662199363601712,242.036362354703,6.98364705568102,21.88631,19.61188
1237662199363667280,242.136559232541,6.89680592829567,20.92528,19.15755
1237662239101812859,242.165385079671,6.72276139842849,20.99818,18.78916
1237662198826795942,242.06276710805,6.59958775554221,21.2292,19.33687
1237661950816093424,242.1584274905,7.61680275630835,21.51006,19.47259
