objid,ra,dec,gflux,rflux
1237661949742220315,241.617698385958,6.86262239700855,2.440988,16.90775
1237661949742154861,241.487988592572,6.887351719876,2.745031,15.83458
1237662199363273343,241.307285715872,7.19793452138314,8.518355,38.0829
1237662199363207865,241.052842790857,7.18199874535537,9.476574,35.25079
1237662635839128759,241.067854599791,7.45360938849048,3.43895,16.40661
1237662200436949600,241.250134668288,8.07345324113404,3.848355,23.12965
1237662636376064664,241.281430392783,7.82235230618106,19.52559,54.59849
1237662635839259264,241.333284642254,7.45458812213302,15.62774,65.51492
1237662199900144906,241.365583394949,7.61894516268809,3.295318,18.48736
1237662635839324614,241.477556821113,7.55229419548513,14.56169,59.44846
1237661949742023354,241.236494709625,6.88191146293628,4.057156,19.32954
1237661949742089343,241.361271940148,6.85419116147039,6.969416,28.24395
1237662198826468447,241.342857730141,6.75532020240569,2.609357,14.16018
1237662198826468160,241.280619784966,6.72384266987594,3.23119,18.6814
1237662199363404327,241.496437662645,7.07242198739912,7.24212,33.36123
1237662199363338825,241.433399032686,7.01522141299603,7.416044,30.80064
1237662198826599415,241.621471598416,6.73701482866457,4.031465,19.49403
1237662635839455789,241.744829959293,7.42380033107546,3.3973,17.38977
1237661950279090599,241.729327617949,7.21258068769431,14.93043,57.28251
1237661950279156711,241.812099853066,7.14010846373091,4.841349,20.41521
1237662198826664639,241.830806263458,6.61946879792445,12.6923,53.42099
1237662199363535483,241.832997516642,7.00679225659106,5.287423,27.95609
1237662199363535402,241.776226138301,6.98175409585933,6.21636,28.91857
1237661949742285663,241.728382215335,6.80558415771261,4.016836,18.23506
1237661949742285489,241.750834316681,6.89073190441489,4.300239,24.12658
1237662239101682567,241.850273279927,6.77556565463502,6.303882,27.77363
1237662198826664551,241.839178900599,6.59257340775437,5.823013,25.5905
1237662198826730711,242.000417878762,6.60567932486442,4.04422,16.46735
1237661949742416676,242.027494775373,6.76357827481404,4.117902,24.02855
1237662239101682747,241.888218736114,6.70522706678005,3.731728,14.73966
1237662239101747725,241.999344600552,6.68781973498719,9.780892,40.04122
1237662199363601712,242.036362354703,6.98364705568102,1.755244,14.29613
1237662199363667280,242.136559232541,6.89680592829567,4.2628,21.72536
1237662239101812859,242.165385079671,6.72276139842849,3.985725,30.502
1237662198826795942,242.06276710805,6.59958775554221,3.220927,18.41754
1237661950816093424,242.1584274905,7.61680275630835,2.485469,16.25329
1237661950816158460,242.175505182327,7.54104039970701,5.65403,21.98353
1237662635839652515,242.193008943442,7.38440196375135,3.270075,14.98835
1237661950279287825,242.16578674221,7.09847500238739,4.78484,23.11361
1237662199363732119,242.258857038463,6.96639859940352,14.52746,53.52615
1237661949742481952,242.261593373062,6.76130136002062,8.768513,39.37417
1237662239101812928,242.213588457913,6.72051922922663,3.394977,21.49121
1237662636376588446,242.460788722157,7.63545347513272,9.965208,40.60366
1237662636376589103,242.442476300853,7.60906405109906,5.268126,28.5008
1237662635839717720,242.354744867043,7.3243560712859,3.46273,19.89798
1237661950279418916,242.449113391098,7.10736187432134,2.479994,14.72406
1237662198826992917,242.547750613214,6.51999364340217,14.81083,18.78646
1237662636376589110,242.462641486279,7.66888824692995,6.739941,31.89322
1237661950279418582,242.470694279601,7.11419329387916,2.504108,16.11099
1237661950279484449,242.628705066233,7.04056697138848,8.215005,22.91262
1237662198826992326,242.576179353584,6.55589812034436,14.90993,52.98075
1237661950816354929,242.695585582252,7.49133535118852,3.929857,23.3287
1237661950279549876,242.76281251294,7.02633571126684,1.694039,13.73564
1237661950279681088,243.036458450678,6.97937601965418,4.230254,19.41501
1237662199364059839,243.050849443849,6.81351567912243,2.986021,12.52036
1237662635840111423,243.295096178486,7.04880088075988,6.415006,29.81375
1237662635840111920,243.245909155519,7.00995820156386,2.944026,18.98424
1237662199364190834,243.275697143055,6.651438581509,11.42825,44.67166
1237662239102337533,243.373181075373,6.53323388495383,17.04696,68.42728
1237662635840177293,243.420151436007,7.11099287173218,3.142712,23.10193
1237661950816682538,243.413139599576,7.3074129840717,5.215997,29.10164
1237662635840307701,243.658288146001,7.04011137938833,4.237875,21.38682
1237662199364256384,243.443898309009,6.7440433049642,4.800536,22.87911
1237661949743072246,243.561709097942,6.57036422388423,3.954185,18.66402
1237662199364321873,243.563519140786,6.63515500939239,14.83702,59.46282
1237662635840373396,243.807095632253,6.94897571061784,3.05575,18.7324
1237662199364387596,243.719489216699,6.66443014433698,3.461066,19.31655
1237662199364453021,243.879218709043,6.70899281844091,15.27867,61.19293
1237662199364453317,243.85152690057,6.61039826054868,2.82264,12.87813
1237662200438850753,245.5880844085,7.18404270019879,2.656019,19.54037
1237662636914835816,245.589664769743,7.44743647598676,53.85817,180.3744
1237668348149498893,245.661071125035,7.56425366499739,2.777866,14.60014
1237662199901913802,245.403199330287,6.826756171268,14.50793,48.34919
1237662635840963256,245.15358805556,6.65625029440274,12.01719,49.10278
1237662199901848771,245.207674598278,6.89455909155045,1.22517,13.5326
1237662199364911783,245.019331285546,6.5314712501794,6.146607,29.58985
1237662635840897207,245.026887837922,6.54926653332106,3.207447,16.03717
1237662636377703879,244.992301614329,7.18911209065316,3.577526,20.79655
1237662635840832855,244.871754007297,6.68569106209134,4.669638,18.95991
1237662635840832868,244.866576926935,6.64945156589087,2.306423,14.47233
1237662635840897987,244.927220163429,6.59572874015502,3.2888,13.25149
1237662636377572048,244.671637339997,7.15868418662362,5.669417,26.06288
1237662636377572016,244.649185014004,7.16406339153511,6.430541,28.70216
1237662636377571837,244.646501098832,7.10834873570018,9.715955,29.0744
1237662200438392006,244.5466318491,7.30386855170461,3.977641,21.40441
1237662200438391763,244.482801318642,7.37774976226239,1.613584,15.70198
1237662636377440880,244.451431094136,7.30799914443473,14.29692,57.51737
1237662636377505907,244.487807614603,7.24679402974152,2.164398,13.75966
1237662636377506558,244.587070078728,7.24828896933975,15.33876,59.07653
1237662199364715132,244.461066550823,6.57836960536836,5.683346,24.82524
1237662199364650313,244.375749547425,6.5660318060239,2.326883,13.35073
1237662199364650221,244.363945814616,6.59915220497605,2.682626,15.201
1237662200438260386,244.285782383319,7.47287593248093,10.51548,42.44692
1237662635840504489,244.126085591783,6.88443173812639,4.909742,25.56282
1237662636377309965,244.125319770439,7.21261991630407,5.240497,25.77786
1237662636377310589,244.092235839121,7.25194348622079,3.544079,19.51247
1237662199901324249,244.059058044288,7.02864909224206,4.00169,20.69191
1237661950280139986,244.072345540478,6.75504483539809,4.860507,24.08916
1237662199364453108,243.980680040314,6.68233647832059,4.578663,26.4864
1237661950280074535,243.984042397965,6.74944194052363,3.699637,18.40357
1237662635840438507,244.012334505584,6.91843226910021,1.620984,14.82786
1237662635840439029,244.039791045232,6.98357742842031,3.303683,20.94093
1237662199901257977,243.926426215286,7.09988149574515,1.936733,13.52261
1237662199901324024,244.062163730446,7.05587435374449,7.34525,27.73964
1237662636377244688,243.882706377926,7.32235767667621,5.204278,26.10212
1237662200438129660,243.935079278597,7.44353329008641,2.100477,15.59667
1237662636377179198,243.745625863454,7.36936073659078,3.795402,19.08288
1237662200438064167,243.735389113821,7.49367240771142,4.533504,30.152
1237662199364321947,243.690042115169,6.73726669312429,16.86604,59.18394
1237662635840242380,243.482665959507,7.06071046325705,3.976529,24.72618
1237662635840307708,243.641425931812,6.96253389141495,4.609279,27.02153
1237662636377113663,243.615759076582,7.39722646500508,3.502451,16.78145
1237662636377113845,243.649453705059,7.37012016082091,4.280759,32.58197
1237662636377113210,243.597785234881,7.49403144881519,5.393002,23.0061
1237662199364191512,243.361974813825,6.72232982080692,2.714801,15.36259
1237662199364190870,243.343943496845,6.74729739474051,17.69614,77.2179
1237662199900996273,243.280764203625,7.21162059305521,2.796478,18.32441
1237661950816682548,243.413246085524,7.26828556691252,16.86621,62.90798
1237662636376982046,243.280141747067,7.48147147738323,11.23004,40.1982
1237661950279680991,243.013729574849,6.99651152118835,4.611702,24.12989
1237662199900931129,243.098002245248,7.28162510161476,4.849271,23.58385
1237662199900865201,242.905189161301,7.27535444795291,6.064951,27.65059
1237662199364059779,242.983343363913,6.81245699700669,11.56692,49.08437
1237662534362661315,242.88814341069,8.20928226200724,2.524939,17.6787
1237662636913591701,242.877083097556,7.98024438140969,4.048301,15.34745
1237662636376720703,242.775003641685,7.65168484985759,3.007929,18.12293
1237668348148318369,242.967845792874,8.22004942610994,2.043286,14.04837
1237662636376785601,242.912850511837,7.64931397174349,7.89739,40.1809
1237662637450592348,243.200953990034,8.29722783263117,6.423677,31.34926
1237668348148253294,242.908766624948,8.30769105044478,18.25382,57.2298
1237668330964386321,243.125439122542,8.50159129451002,16.76431,57.39989
1237662637450527999,243.107524228976,8.31488337317735,4.27288,15.89185
1237662636913787554,243.230123064515,7.98375912056121,6.437206,31.42477
1237668330964517799,243.43460059347,8.42792562208611,1.433797,16.98712
1237661951353487883,243.38660105718,7.74100981760852,13.54021,51.11658
1237662636377047946,243.436225564461,7.51697392643754,3.119797,18.25049
1237662534362923688,243.419953044683,8.04760126181491,7.067051,32.76142
1237662636377047660,243.479318359153,7.52485025465912,14.82255,53.93697
1237662637987595037,243.611723592421,8.59585551147524,14.44947,59.7625
1237668348148580910,243.606973216346,8.0599478147911,5.000753,25.48494
1237661951353684251,243.712086551697,7.65361422575076,2.960667,18.30308
1237661951353553338,243.54770015889,7.78043909576984,4.814106,17.49585
1237668348148580466,243.585140282517,8.08787575905063,10.65709,46.27444
1237661951353618973,243.669806412733,7.75443746104781,10.8666,44.32121
1237668331501453848,243.720319874824,8.83439345298886,4.188807,29.41713
1237662637450790247,243.69886774988,8.28463318192255,2.317032,14.59212
1237662637450855114,243.782099395215,8.26178566120944,4.643066,22.84554
1237662637450855203,243.867885888893,8.1928551674155,2.705215,18.42291
1237668348148777699,243.93243292911,7.9382858267597,3.475635,18.01583
1237668348148712328,243.893240843073,8.09152089963311,3.374057,22.75681
1237661951353684493,243.848306785419,7.63180714691034,2.151182,17.54247
1237662636914049260,243.923969096157,7.83783817646963,1.864519,12.90557
1237662636914049080,243.808029759454,7.77922108676522,2.882076,19.18865
1237668348148646455,243.790831046484,8.06235904423414,6.569605,27.09762
1237662637987725995,243.861794709879,8.60069983493132,8.052953,38.71414
1237662638524596710,243.92639254884,8.98920840342234,9.912189,42.29877
1237662637450855837,243.87018366756,8.25782206622107,2.547632,15.05731
1237662636914115474,243.970517585477,7.81260677093183,2.061579,13.97829
1237662637450985913,244.06090937198,8.13397652207716,0.6823205,13.0332
1237662534363185614,244.023294678648,7.86446274230373,3.995033,18.93636
1237662636914115019,244.022003897871,7.72400410657383,2.626079,14.8286
1237662636914115704,244.001074775499,7.79566684992776,4.202557,18.83286
1237668330964844677,244.16289977208,8.25551483281662,23.1933,70.73207
1237662534363251562,244.128378002244,7.83258589218695,3.967091,21.53289
1237662638524662380,244.199111286414,8.99094224353872,2.839854,13.36372
1237668349222519402,244.26205447717,8.74378218386107,8.341104,27.62156
1237668348685648426,244.196919953046,8.41644773450252,2.641518,13.47097
1237662637451051630,244.266636979657,8.13274519721956,4.026946,23.09114
1237662637451052480,244.352967850128,8.19292180696564,2.580303,13.60479
1237662637987988789,244.529563937494,8.44114178398165,3.123854,16.91315
1237668348149040143,244.671002671989,7.81771101675741,2.398255,13.58486
1237662637451247741,244.695144045255,7.95069164692952,10.81694,45.13735
1237668331501913295,244.76321037031,8.55122596104256,2.25761,13.65229
1237662637451510001,245.208668074784,7.82458442509761,4.899585,19.39615
1237662636914573983,245.004275874066,7.54121886215182,7.997059,35.61053
1237668330965304350,245.21150000079,8.0238004886677,2.6492,14.80703
1237662637451510782,245.244038966624,7.94678984447028,2.922007,15.758
1237668348149432695,245.406291663494,7.56369706281907,9.728897,40.47834
1237668348149367254,245.3467725555,7.59137087156467,55.83971,145.643
1237668348686238662,245.425122406691,8.14554686031347,1.85424,15.9891
1237662637451575968,245.509501953933,7.86093231090367,38.67457,139.4604
1237668348686238472,245.443674311351,8.01747178982096,2.700672,15.77642
